heuristic,n_runs,mean_expanded,std_expanded,mean_time_s,std_time_s,mean_depth_if_solved,solve_rate
Hamming,100,18074.63,18660.85517254791,0.22465319999999336,0.2421118141984244,22.46,1.0
Manhattan,100,1827.94,2236.1117354312446,0.02130638099999487,0.026809512817687724,22.46,1.0
